Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
5,189805,0.35,72.8,-2.23,-2.23,-2.49,-2.23,247,5,-1.09,-0.27,-0.31,-1.12,-0.91,-0.35,-0.27,58.1,87.4
5,189806,3.46,78.7,1.54,1.54,4.63,1.54,411,0,1.89,0.94,1.04,0.45,-0.14,0.01,0.13,66.2,91.1
5,189807,2.47,79.4,1.88,1.88,1.48,1.88,446,0,0.62,1.78,1.06,0.76,0.22,0.28,0.44,67.5,91.2
5,189808,1.58,76.5,-0.09,1.59,-0.28,1.39,356,0,-0.08,0.28,1.25,0.75,0.28,-0.01,0.68,61.6,91.5
5,189809,0.81,72.5,-0.76,0.75,-2.03,-0.48,232,7,-0.76,-0.65,-0.32,0.26,-0.01,-0.37,0.41,55.6,89.4
5,189810,0.41,63.5,-1.26,-1.26,-1.74,-1.26,53,99,-0.78,-1.24,-1.01,-0.11,-0.16,-0.48,-0.39,42.1,84.8
5,189811,0.08,49.6,-1.42,-1.42,-0.87,-1.42,0,462,-0.75,-1.15,-1.54,-0.03,-0.17,-0.49,-0.4,31.4,67.8
5,189812,1,42.1,-0.81,-0.81,1.41,0.05,0,710,1.11,0.24,-0.51,-0.57,0.02,-0.2,-0.34,28.2,56
5,189901,0.14,43,-0.92,-0.92,-0.59,-0.35,0,682,-0.57,0.47,-0.15,-1.02,-0.2,-0.23,-0.36,27.9,58.2
5,189902,0.16,42.4,-0.86,-0.86,-0.09,-0.28,0,633,-0.4,-0.84,0.07,-1.21,-0.03,-0.18,-0.32,27.2,57.7
5,189903,0.16,58.3,-0.99,-0.99,-0.67,-0.66,19,226,-0.29,-0.65,-0.94,-0.9,-0.84,-0.23,-0.37,42.8,73.7
5,189904,0.61,63.2,-0.93,-0.93,-0.12,-0.58,53,107,0.47,0.13,-0.21,-0.29,-1.08,-0.29,-0.37,48.2,78.2
5,189905,0.26,73.4,-1.77,-1.77,-2.8,-1.77,265,0,-1.31,-0.76,-0.87,-0.54,-1.41,-0.28,-0.58,57.2,89.6
5,189906,2.98,79.8,1.11,1.11,3.32,1.11,444,0,1.55,0.55,0.53,0.03,-0.25,-0.44,-0.45,66.6,93.1
5,189907,3.3,79.9,2.06,2.06,3.19,2.06,462,0,1.22,1.99,1.21,0.77,0.57,-0.16,-0.07,68,91.8
5,189908,0.65,80.3,-0.94,0.9,-2.83,-0.46,474,0,-1.41,0.22,0.96,0.33,0.3,-0.43,-0.42,65.4,95.3
5,189909,2.13,75,-0.93,0.73,-0.25,-0.7,300,0,0.38,-0.39,0.23,0.39,0.11,-0.11,-0.36,61.1,89
5,189910,0.91,64.9,-1.15,-1.15,-0.96,-1.15,73,76,-0.13,0.11,-0.49,0.27,0.11,0.04,-0.33,51,78.9
5,189911,1.29,53.6,0.57,0.57,1.7,0.57,0,346,1.26,0.44,0.43,0.77,0.42,0.36,-0.12,37.9,69.2
5,189912,0.8,45.1,0.78,0.78,0.81,0.78,0,617,0.83,1.23,0.59,0.41,0.55,0.3,-0.06,31.2,58.9
5,190001,0.7,46.3,0.87,0.87,0.52,0.87,0,580,0.74,0.87,1.24,0.08,0.61,0.44,0.02,33.8,58.7
5,190002,0.46,47.3,0.93,0.93,0.43,0.93,0,496,0.36,0.52,0.71,0.57,0.88,0.53,0.12,33.8,60.9
5,190003,0.51,56.8,1.1,1.1,0.81,1.1,12,266,0.65,0.47,0.59,0.63,0.51,0.61,0.15,42,71.7
5,190004,0.4,63,0.77,0.77,-0.66,0.22,50,110,0.07,0.31,0.28,0.86,0.11,0.58,0.05,49.6,76.4
5,190005,2.42,74.1,1.43,1.43,2.22,1.43,285,0,1.45,1.11,1.07,1.07,0.86,1.1,0.48,59.4,88.8
5,190006,1.82,82,1.35,1.35,0.2,1.35,510,0,0.54,1.22,1,0.97,0.98,0.84,0.17,66.2,97.7
5,190007,2.79,80.6,1.84,1.84,1.9,1.84,484,0,0.87,0.93,1.48,1.15,1.37,0.68,0.24,68.8,92.4
5,190008,1.99,79.6,1.68,1.68,0.08,1.65,453,0,0.32,0.71,0.79,1.1,1.16,0.97,0.33,66.6,92.7
5,190009,5.03,78.6,2.81,2.81,3.91,2.81,408,0,1.67,1.43,1.58,1.77,1.67,1.62,1.07,68.4,88.7
5,190010,3,65.7,3.52,3.52,3.01,3.52,86,64,1.42,1.92,1.73,2.1,1.93,2.03,1.44,52.7,78.7
5,190011,0.07,55.2,-0.37,2.79,-1.12,2.28,7,301,-0.78,1,1.72,1.74,1.79,1.81,1.46,41.5,69
5,190012,0.07,43.8,-0.66,2.18,-0.97,1.24,0,657,-0.9,-1.22,0.68,1.57,1.69,1.62,1.29,29.8,57.8
5,190101,0.15,46.3,-1,1.54,-1.23,0.12,0,580,-0.53,-1.21,-1.39,1.31,1.71,1.57,1.33,32.2,60.4
5,190102,1.19,48.6,-0.39,1.89,1.52,1.04,0,459,1.37,0.72,0.19,1.59,1.61,1.7,1.54,36.1,61.1
5,190103,0.46,53.7,-0.08,1.97,0.82,1.38,0,355,0.55,1.17,0.7,0.76,1.6,1.72,1.63,37.7,69.6
5,190104,0.29,62.1,-0.36,1.48,-0.86,0.57,39,126,-0.21,0.1,0.76,-0.23,1.32,1.68,1.63,46.9,77.2
5,190105,0.33,72.8,-1.17,-1.17,-2.55,-1.17,247,5,-1.14,-1.18,-0.79,-0.42,1.11,1.23,1.58,57.1,88.5
5,190106,0.43,82.1,-2.09,-2.09,-3.12,-2.09,513,0,-1.48,-1.61,-1.59,-0.82,-0.18,0.93,1.14,66.2,98
5,190107,1.92,80.9,-1.88,-1.88,-0.01,-1.82,493,0,0.15,-0.85,-1.24,-0.61,-1,0.69,0.86,68.1,93.7
5,190108,1.24,81.4,-2.28,-2.28,-1.77,-2.28,508,0,-0.47,-0.32,-1.03,-1.24,-1.03,0.51,0.96,68.3,94.5
5,190109,2.52,74.4,-1.89,-1.89,0.47,-1.61,285,0,0.6,0.16,0.06,-0.76,-0.49,-0.17,1.04,61.2,87.5
5,190110,1.87,66.8,-1.48,-1.48,0.64,-0.86,105,49,0.71,0.73,0.37,-0.39,-0.16,-0.48,1.16,53.5,80.1
5,190111,0.33,56.6,-1.66,-1.66,-1,-1.42,10,262,-0.17,0.44,0.6,-0.2,-0.46,-0.41,1.03,41.4,71.7
5,190112,0.13,43.9,-1.77,-1.77,-0.84,-1.77,0,654,-0.65,-0.61,0.14,0.05,-0.61,-0.39,0.84,28.9,58.9
5,190201,0.12,44.1,-1.94,-1.94,-1.07,-1.94,0,648,-0.66,-1.12,-0.94,-0.02,-0.67,-0.43,0.75,29.9,58.4
5,190202,0.02,49.1,-2.21,-2.21,-1.41,-2.21,0,445,-1.16,-1.29,-1.44,0.06,-0.56,-0.78,0.71,34.7,63.5
5,190203,0.05,53.3,-2.38,-2.38,-1.19,-2.38,0,367,-0.99,-1.74,-1.66,-0.53,-0.32,-0.93,0.61,38.5,68.1
5,190204,0.27,68.2,-2.66,-2.66,-1.57,-2.66,132,36,-0.27,-0.78,-1.46,-1.48,-0.36,-0.96,0.6,51.9,84.5
5,190205,0.77,75.2,-3.01,-3.01,-1.87,-3.01,316,0,-0.31,-0.52,-0.78,-1.55,-0.26,-0.78,0.33,59.9,90.5
5,190206,1.11,82.9,-3.23,-3.23,-1.59,-3.23,537,0,-0.29,-0.51,-0.65,-1.17,-0.75,-0.54,0.19,68.3,97.5
5,190207,3.13,78.5,1.01,-1.89,3.03,-0.61,418,0,1.11,0.67,0.31,-0.22,-0.51,-0.14,0.26,67.1,89.9
5,190208,2.31,80,1.1,-1.5,0.57,0,465,0,0.59,1.06,0.77,0.19,-0.22,0.13,0.34,67.4,92.6
5,190209,1.39,71.7,0.65,-1.68,-0.99,-0.57,210,9,-0.15,0.13,0.53,0.06,-0.28,-0.21,-0.29,59.9,83.5
5,190210,0.56,65.6,0.01,-2.08,-1.74,-1.58,84,66,-0.56,-0.57,-0.21,-0.05,-0.37,-0.58,-0.76,50.3,80.9
5,190211,1.11,55.3,0.36,-1.51,1.07,-0.61,7,298,1.05,0.03,-0.18,0.24,-0.04,-0.36,-0.57,41.7,68.8
5,190212,0.26,45,0.12,-1.56,-0.62,-0.85,0,620,-0.23,0.56,-0.15,0.31,-0.03,-0.32,-0.55,32.5,57.4
5,190301,1.2,44.2,0.59,-0.92,1.44,0.24,0,645,1.37,0.83,1.08,0.21,0.27,-0.04,-0.4,32,56.3
5,190302,0.75,43.1,0.97,0.97,1.34,0.97,0,613,0.84,1.3,0.92,0.18,0.49,0.19,-0.47,30.8,55.4
5,190303,0.06,53.2,1.12,1.12,0.75,1.12,0,370,-0.89,0.26,0.87,0.27,0.51,0.17,-0.56,38.9,67.4
5,190304,0.24,63.8,0.68,0.68,-0.97,-0.06,61,97,-0.36,-0.85,-0.06,0.6,0.12,0.19,-0.59,50.6,76.9
5,190305,1.41,70.1,0.81,0.81,0.58,0.38,173,15,0.52,0.17,-0.08,0.45,0.07,0.4,-0.36,56.9,83.3
5,190306,3.55,73.5,2.62,2.62,5.68,2.62,258,0,1.95,1.65,1.32,1.33,0.93,0.97,0.22,61.9,85.1
5,190307,0.55,81.4,-0.96,1.38,-2.89,0.09,508,0,-1.84,0.57,0.62,0.36,0.72,0.33,-0.02,69,93.8
5,190308,1.13,79,-1.38,0.72,-1.56,-1.18,434,0,-0.61,-1.71,0.04,-0.12,0.26,0.02,-0.02,66.9,91
5,190309,1.35,72.9,-1.65,-1.65,-1.21,-1.65,243,6,-0.19,-0.59,-1.31,-0.2,0.06,-0.03,-0.2,60.8,85
5,190310,0.28,62.6,-2.1,-2.1,-1.87,-2.1,41,115,-1.01,-0.83,-1.04,-0.4,-0.46,-0.09,-0.49,48,77.1
5,190311,0.02,54.3,-2.38,-2.38,-1.5,-2.38,5,326,-0.92,-1.42,-1.17,-0.74,-0.73,-0.41,-0.57,37.7,71
5,190312,0.12,44.5,-2.44,-2.44,-0.91,-2.44,0,636,-0.68,-1.22,-1.62,-1.9,-0.75,-0.44,-0.59,29.9,59.1
5,190401,0.24,43.7,-2.44,-2.44,-0.75,-2.44,0,660,-0.2,-0.82,-1.24,-1.54,-0.76,-0.78,-0.59,29.2,58.2
5,190402,0.05,53.9,-2.87,-2.87,-2.06,-2.87,0,316,-0.93,-0.87,-1.16,-1.62,-1.06,-1.01,-0.58,36.3,71.5
5,190403,0,60.8,-3.34,-3.34,-2.28,-3.34,37,167,-1.84,-1.94,-1.35,-1.82,-2.28,-1.04,-0.62,46.1,75.4
5,190404,0.19,65.3,-3.48,-3.48,-1.46,-3.48,83,74,-0.55,-1.39,-2.08,-1.96,-2.11,-1.09,-0.65,50.6,79.9
5,190405,1.31,70.1,0.06,-3.06,0.18,-2.93,173,15,0.4,0.02,-0.29,-0.91,-1.46,-1.13,-0.53,57,83.2
5,190406,3.02,76.3,1.36,-1.44,3.91,0.3,339,0,1.58,1.27,0.93,0.29,-0.49,-1.34,-0.18,64.4,88.2
5,190407,0.81,77.9,0.59,-1.92,-1.88,-0.93,400,0,-1.27,0.37,0.39,-0.21,-0.59,-1.09,-0.58,65.7,90.2
5,190408,1.24,77.9,0.14,-2.12,-1.18,-1.53,400,0,-0.47,-1.29,-0.06,-0.29,-0.61,-1.03,-0.76,66.1,89.7
5,190409,5.29,71,1.92,1.92,5.4,1.92,192,12,1.76,1.27,0.73,1.01,0.62,0.07,0,62.5,79.4
5,190410,2.3,61.7,2.79,2.79,3.19,2.79,31,134,1,1.79,1.41,1.35,0.95,0.61,0.31,50.8,72.7
5,190411,0.56,50.4,2.94,2.94,1.31,2.94,0,438,0.26,0.87,1.73,1.34,1.04,0.74,0.21,35.1,65.6
5,190412,0.27,44.7,2.56,2.56,-0.22,2.41,0,629,-0.2,-0.07,0.68,0.86,1.08,0.76,0.11,30.8,58.5
5,190501,0.33,44.8,2.24,2.24,-0.18,1.95,0,626,0.04,-0.32,-0.22,1.22,1.17,0.8,-0.04,30.8,58.8
5,190502,1.17,43.5,2.79,2.79,2.37,2.79,0,602,1.35,0.89,0.54,1.7,1.34,1.07,0.06,31.1,55.9
5,190503,1.78,56,4.12,4.12,4.84,4.12,10,289,2.2,2.11,1.72,1.41,1.35,1.48,0.35,45.2,66.9
5,190504,1.22,59.6,5.12,5.12,4.27,5.12,19,181,1.24,1.91,1.99,1.36,1.74,1.69,0.54,46.9,72.3
5,190505,0.82,72.1,4.71,4.71,0.35,4.71,227,7,-0.23,0.52,1.34,1.19,1.82,1.55,0.47,57.4,86.7
5,190506,2.14,78,5.07,5.07,2.54,5.07,390,0,0.85,0.35,0.73,1.43,1.36,1.39,0.2,65.6,90.3
5,190507,2.95,77.7,5.6,5.6,3.16,5.6,394,0,0.98,1.25,0.85,1.8,1.38,1.71,0.64,65.4,90
5,190508,0.89,78.2,4.44,4.44,-1.76,3.73,409,0,-0.97,0.15,0.46,1.06,1.06,1.66,0.61,65.8,90.7
5,190509,1.81,72.9,3.84,3.84,-0.44,2.93,243,6,0.17,-0.44,0.04,0.35,0.89,0.98,0.71,61.1,84.6
5,190510,0.77,62.1,3.16,3.16,-0.83,1.92,35,125,-0.29,-0.15,-0.61,-0.01,0.78,0.64,0.78,50.5,73.7
5,190511,1.87,53.4,3.89,3.89,3.15,3.71,0,352,1.85,0.73,0.48,0.51,0.93,0.95,1.09,44,62.7
5,190512,1.16,38.5,4.21,4.21,2.16,4.21,0,822,1.32,1.95,1.07,0.53,0.74,1.13,1.21,27.7,49.2
5,190601,0.53,43.8,3.91,3.91,0.39,3.91,0,657,0.46,1.06,1.78,0.29,0.58,1.21,1.29,29.4,58.2
5,190602,0.94,46.1,4.08,4.08,1.73,4.08,0,529,1.09,0.86,1.24,0.85,0.84,1.15,1.48,34,58.2
5,190603,0.07,54.4,3.91,3.91,0.76,3.91,6,335,-0.81,0.52,0.47,0.95,0.58,0.75,1.53,39.7,69
5,190604,0.7,62.4,3.93,3.93,1.24,3.93,43,121,0.61,0.13,0.58,1.34,0.39,0.65,1.68,49.5,75.3
5,190605,0.5,70.8,3.27,3.27,-0.74,2.93,191,11,-0.77,-0.31,-0.55,0.44,0.5,0.6,1.48,56.4,85.3
5,190606,0.98,78.8,2.76,2.76,-0.53,2.16,414,0,-0.47,-0.87,-0.63,-0.29,0.39,0.29,1.12,64.1,93.4
5,190607,4,75.9,4.29,4.29,5.45,4.29,338,0,1.65,1.18,0.6,0.64,1.24,0.53,1.65,65.1,86.8
5,190608,3.53,75.6,5.15,5.15,3.89,5.15,329,0,1.43,2,1.72,1.05,1.31,1.1,1.99,65,86.1
5,190609,1.18,72.2,4.17,4.17,-1.35,3.61,224,8,-0.34,0.6,1.22,0.7,0.7,0.97,1.3,59.7,84.7
5,190610,0.74,59.4,3.56,3.56,-0.55,2.75,15,188,-0.33,-0.59,0.3,0.49,0.53,0.98,1.03,43.3,75.6
5,190611,1.66,49.1,4.21,4.21,3.05,4.21,0,477,1.65,0.58,0.09,1.01,0.7,0.95,1.22,37.4,60.8
5,190612,0.8,48.7,4.03,4.03,0.75,4.03,0,505,0.83,1.53,0.72,1.28,0.85,0.84,1.27,37.4,59.9
5,190701,0.23,50.6,-0.27,3.34,-0.8,2.98,0,446,-0.23,0.33,1.17,0.66,0.77,0.79,1.29,38,63.3
5,190702,0.07,51.8,-0.65,2.59,-1.22,1.7,0,370,-0.8,-0.84,-0.16,-0.07,0.88,0.59,1.11,34.6,68.9
5,190703,0.04,61.7,-1.32,1.58,-2.23,-0.17,46,148,-1.11,-1.45,-1.21,0.06,0.94,0.57,0.79,45.3,78.1
5,190704,0.14,63,-1.62,0.99,-1.28,-1.15,50,110,-0.79,-1.46,-1.98,0.22,0.28,0.45,0.6,46.7,79.2
5,190705,0.31,67.2,-2.03,-2.03,-1.75,-2.03,108,39,-1.18,-1.55,-2.03,-1.25,-0.63,0.44,0.54,52.5,81.8
5,190706,0.5,75.9,-2.49,-2.49,-1.99,-2.49,327,0,-1.32,-1.55,-1.68,-2.04,-0.83,0.3,0.23,56.4,95.4
5,190707,2.1,77.8,-1.92,-1.92,0.93,-1.46,397,0,0.31,-0.63,-1.07,-1.48,-0.55,-0.21,0.08,65.3,90.3
5,190708,1.7,80.8,-1.98,-1.98,-0.76,-1.78,490,0,0.05,0.12,-0.54,-1.18,-1.12,-0.76,0.25,66.9,94.8
5,190709,0.51,74.5,-2.7,-2.7,-2.79,-2.7,288,0,-1.27,-0.79,-0.59,-1.36,-1.57,-0.99,0.05,60.1,89
5,190710,4.14,64.3,1.81,-0.61,5.43,1.73,64,86,2,0.83,0.63,-0.05,-0.4,-0.01,0.63,53.8,74.8
5,190711,1.37,48.4,2.71,2.71,3.27,2.71,0,498,1.35,2.24,1.08,0.47,-0.01,-0.09,0.55,38.5,58.3
5,190712,0.04,46.5,2.16,2.16,-0.81,1.76,0,574,-1.05,0.6,1.96,0.67,-0.06,-0.3,0.26,32.7,60.4
5,190801,0.43,45.5,1.96,1.96,0.07,1.53,0,604,0.27,-0.57,0.46,0.68,0.05,-0.27,0.24,31.6,59.3
5,190802,0.2,48.5,1.65,1.65,-0.34,1.03,0,462,-0.26,-0.2,-0.73,0.72,0.25,-0.21,0.14,34.8,62.3
5,190803,0.19,60.1,1.18,1.18,-0.9,0.17,31,182,-0.17,-0.47,-0.34,1.4,0.49,-0.19,0.14,44.1,76.2
5,190804,1,63.2,1.61,1.61,1.66,1.21,53,107,1,0.62,0.3,0.39,0.63,0.08,0.19,49.9,76.5
5,190805,0.82,70.3,1.36,1.36,-0.26,0.82,178,14,-0.23,0.33,0.18,-0.28,0.6,0.26,0.29,54.1,86.5
5,190806,1.04,79.3,1.02,1.02,-0.6,0.22,429,0,-0.39,-0.52,-0.13,-0.31,0.95,0.39,0.3,64.4,94.2
5,190807,5.76,76.1,3.97,3.97,9.18,3.97,344,0,2.56,2.29,1.79,1.39,1.27,1.17,0.63,64.9,87.2
5,190808,2.68,75.9,4.38,4.38,2.44,4.38,338,0,0.87,2.35,2.14,1.66,1.24,1.37,0.49,64.8,87.1
5,190809,0.85,71.5,-0.6,3.33,-1.79,2.59,205,10,-0.71,0.04,1.41,1.09,0.85,1.49,0.46,57.1,85.8
5,190810,0.24,61.6,-1.14,2.39,-1.8,0.93,30,136,-1.08,-1.4,-0.45,0.63,0.57,0.61,0.37,44.2,79
5,190811,0.45,51.7,-1.07,2.09,-0.16,0.58,0,399,0.07,-0.91,-1.28,0.69,0.61,0.39,0.15,35.3,68
5,190812,0.03,46.8,-1.41,1.42,-1.35,-0.52,0,564,-1.1,-0.58,-1.26,0.71,0.53,0.38,-0.07,31.9,61.7
5,190901,0.07,50.3,-1.9,0.64,-1.9,-1.82,0,456,-0.96,-1.66,-0.99,-0.86,0.3,0.28,-0.11,33.3,67.2
5,190902,0.06,50.3,-2.19,-2.19,-1.46,-2.19,0,412,-0.86,-1.32,-1.7,-1.95,0.3,0.26,-0.09,33.1,67.6
5,190903,0.25,55.6,-2.28,-2.28,-0.95,-2.28,9,300,0.03,-0.67,-1.12,-1.51,0.4,0.26,-0.08,38.5,72.6
5,190904,0.09,64.2,-2.58,-2.58,-1.6,-2.58,67,91,-1.16,-0.71,-1.23,-1.44,-1.21,0.04,-0.1,46.4,82.1
5,190905,0.37,70.5,-3.02,-3.02,-2.1,-3.02,183,13,-1.04,-1.53,-1.43,-2.56,-2.35,-0.05,-0.04,55.1,86
5,190906,0.93,79.2,-3.19,-3.19,-1.47,-3.19,426,0,-0.55,-1.04,-1.28,-1.61,-1.95,-0.09,0.03,65.3,93
5,190907,2.76,80,-2.23,-2.23,1.91,-1.39,465,0,0.85,0.27,-0.29,-0.7,-0.95,-0.99,0.17,68.6,91.5
5,190908,0.91,77.1,-2.57,-2.57,-1.72,-2.38,375,0,-0.93,0.04,-0.35,-0.9,-1.34,-1.62,0.05,65.9,88.4
5,190909,0.67,70.7,-2.98,-2.98,-2.02,-2.98,184,13,-0.97,-1.36,-0.58,-1.17,-1.37,-1.62,0.11,57.6,83.8
5,190910,0.23,63.3,-3.36,-3.36,-2.06,-3.36,50,103,-1.1,-1.67,-1.79,-1.4,-1.61,-1.73,-0.62,47.2,79.5
5,190911,0.5,57,-3.23,-3.23,-0.63,-3.23,12,252,0.16,-0.86,-1.42,-1.09,-1.46,-1.75,-0.81,42.2,71.7
5,190912,0.39,39.8,-2.86,-2.86,0.09,-2.76,0,781,0.09,0.01,-0.85,-0.94,-1.42,-1.61,-0.72,26.5,53
5,191001,0.05,44.7,-2.93,-2.93,-1.08,-2.93,0,629,-1.13,-0.64,-0.47,-1.81,-1.46,-1.65,-0.81,31.2,58.2
5,191002,0,44.9,-2.96,-2.96,-0.99,-2.96,0,563,-1.38,-1.63,-1.11,-1.81,-1.43,-1.72,-0.86,29.7,60
5,191003,0.41,59.6,-3.02,-3.02,-1.09,-3.02,27,194,0.45,-0.43,-0.94,-1.15,-1.21,-1.62,-0.84,45.4,73.7
5,191004,0.19,62.6,-3.1,-3.1,-1.18,-3.1,45,117,-0.55,-0.13,-0.73,-0.79,-2.14,-1.7,-1.01,48,77.2
5,191005,0.6,71.6,-3.35,-3.35,-1.73,-3.35,213,8,-0.59,-0.88,-0.64,-1.19,-1.81,-1.67,-1.06,57.4,85.7
5,191006,1.83,78.8,-2.77,-2.77,0.73,-2.42,414,0,0.55,-0.05,-0.3,-0.67,-0.97,-1.22,-0.92,65.1,92.6
5,191007,0.88,81,-3.24,-3.24,-2.26,-3.24,496,0,-1.15,-0.53,-0.79,-1.01,-1.03,-1.83,-1.82,67.7,94.4
