,mtn,spcode,tag,lat,lon,elev,DBH,Age,trail.area,date,,
45,DM,PICE,ELD046,30.67971,104.14925,1934,8.6,NA,right  hand loop,7/31/2015,,
46,DM,PIPOS,ELD047,30.67874,104.15104,1944,10.4,22,right  hand loop,7/31/2015,,
47,DM,PICE,ELD048,30.67817,104.15277,1960,17.8,93,right  hand loop,7/31/2015,,
48,DM,PIPOS,ELD049,30.67798,104.1537,1967,12.4,NA,right  hand loop,7/31/2015,,
49,DM,PICE,ELD050,30.677,104.15678,1996,8.6,47,right  hand loop,7/31/2015,,
50,DM,PICE,ELD051,30.67702,104.16309,2020,16.6,112,right  hand loop,7/31/2015,,
51,DM,PIPOS,ELD053,30.67617,104.17084,1899,19.6,54,right  hand loop,7/31/2015,,
52,DM,PICE,ELD054,30.6743,104.17107,1923,10.8,28,right  hand loop,7/31/2015,,
53,DM,PIPOS,ELD055,30.67167,104.17245,1944,13.2,NA,right  hand loop,7/31/2015,,
54,DM,PICE,ELD057,30.66989,104.17377,1975,22.8,74,right  hand loop,7/31/2015,,
55,DM,PIST3,ELD059,30.64715,104.17847,2064,23.2,57,right  hand loop,7/31/2015,,
56,DM,PIST3,ELD060,30.64691,104.17847,2050,27.6,66,right  hand loop,7/31/2015,,
57,DM,PIPOS,ELD063,30.64645,104.17918,2059,10.3,26,tobe canyon trail,8/1/2015,,
58,DM,PIST3,ELD064,30.64524,104.17955,2086,30.4,110,tobe canyon trail,8/1/2015,,
59,DM,PIST3,ELD065,30.6427,104.18017,2122,29.6,NA,tobe canyon trail,8/1/2015,,
60,DM,PIST3,ELD066,30.64285,104.18021,2128,23.2,82,tobe canyon trail,8/1/2015,,
61,DM,PIST3,ELD067,30.64259,104.17797,2199,30,94,tobe canyon trail,8/1/2015,,
62,DM,PIST3,ELD068,30.64132,104.17903,2230,15.4,43,tobe canyon trail,8/1/2015,,
63,DM,PIST3,ELD069,30.64133,104.17906,2218,16.8,54,tobe canyon trail,8/1/2015,,
64,DM,PIST3,ELD070,30.6416,104.17902,2208,8.4,40,tobe canyon trail,8/1/2015,,
65,DM,PIST3,ELD071,30.64174,104.17937,2191,24.6,67,tobe canyon trail,8/1/2015,,
66,DM,PIST3,ELD072,30.64215,104.17967,2167,20.2,48,tobe canyon trail,8/1/2015,,
67,DM,PIST3,ELD073,30.6415,104.18034,2169,12.8,35,tobe canyon trail,8/1/2015,,
